Business Name,Industry,Age,Company Type,Annual Revenue (USD),Number of Employees,Credit Score,Collateral Value (USD),Debt-to-Equity Ratio,Profit Margin,Cash Flow (USD),Outstanding Debt (USD),Market Competition,Business Plan Quality,Ownership Structure,Location,Regulatory Environment,Business Assets (USD),Growth Potential,Industry Trends,Customer Base,Supplier Relationships,Management Experience,Tax Compliance,Technological Infrastructure,Loan Approved
Dangote Group,Telecommunications,7,Public,"20,000,000,000","147,000",800,"40,000,000,000",0.4,18%,"1,200,000","300,000,000",High,Excellent,Public,South Africa,Moderate,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Manufacturing,105,Public,"10,000,000,000","30,000",687,"40,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,E-commerce,55,Corporation,"10,000,000,000","9,000",800,"35,000,000,000",0.4,12%,"1,500,000","500,000,000",High,Average,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Public,"1,200,000,000","30,000",600,"1,200,000,000",0.4,10%,"100,000","30,000,000",Medium,Good,Private,Nigeria,Moderate,"30,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Chemicals,38,Public,"10,000,000,000","147,000",704,"35,000,000,000",0.4,8%,"1,500,000","300,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,E-commerce,17,Public,"5,000,000,000","147,000",693,"2,500,000,000",0.4,10%,"1,500,000","1,000,000,000",High,Good,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Financial Technology,38,Public,"100,000,000","13,000",600,"1,200,000,000",0.5,12%,"50,000","200,000,000",High,Average,Public,South Africa,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,No
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.9,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Flutterwave,Media,7,Public,"5,000,000,000","15,000",600,"150,000,000",0.4,15%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Advanced,No
Zenith Bank,E-commerce,17,Public,"25,000,000,000","30,000",725,"4,000,000,000",0.8,18%,"1,500,000","200,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,17,Public,"700,000,000","30,000",746,"15,000,000,000",0.9,15%,"50,000","100,000,000",High,Good,Public,South Africa,Moderate,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Telecommunications,105,Public,"10,000,000,000","30,000",788,"40,000,000,000",0.6,18%,"800,000","1,000,000,000",High,Good,Public,Nigeria,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,27,Limited,"100,000,000","30,000",624,"15,000,000,000",0.7,8%,"1,200,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,58,Public,"2,500,000,000","13,000",746,"9,000,000,000",0.9,16%,"1,000,000","300,000,000",High,Good,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Media,105,Public,"25,000,000,000","29,000",734,"40,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Banking,84,Public,"10,000,000,000","15,000",727,"15,000,000,000",0.5,12%,"1,200,000","500,000,000",High,Good,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"2,500,000,000",500,617,"150,000,000",1.2,10%,"50,000","30,000,000",Medium,Average,Public,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.2,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Dangote Group,Chemicals,105,Public,"10,000,000,000","19,000",724,"15,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,27,Private,"2,500,000,000","15,000",721,"150,000,000",1.1,20%,"50,000","250,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Adequate,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.4,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Sasol Ltd,Banking,53,Public,"25,000,000,000","29,000",672,"150,000,000",1,18%,"1,000,000","300,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Media,105,Public,"20,000,000,000","30,000",731,"35,000,000,000",0.4,16%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Manufacturing,7,Limited,"100,000,000","9,000",768,"4,000,000,000",0.9,18%,"500,000","200,000,000",High,Good,Public,Kenya,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,26,Public,"700,000,000","29,000",730,"25,000,000,000",0.6,20%,"1,000,000","500,000,000",High,Good,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Banking,42,Public,"10,000,000,000","30,000",694,"40,000,000,000",1.1,20%,"1,000,000","300,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Media,105,Public,"5,000,000,000","30,000",730,"15,000,000,000",0.6,15%,"500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Chemicals,7,Public,"2,500,000,000","9,000",729,"25,000,000,000",1.1,16%,"200,000","300,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Retail,7,Public,"100,000,000",500,600,"1,200,000,000",1.1,10%,"50,000","300,000,000",Medium,Average,Public,Nigeria,Strict,"1,800,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,32,Public,"2,500,000,000","9,000",722,"4,000,000,000",0.8,20%,"500,000","300,000,000",Medium,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,72,Public,"25,000,000,000","9,000",794,"15,000,000,000",1,12%,"1,000,000","300,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Media,62,Public,"20,000,000,000","29,000",733,"40,000,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,20,Limited,"2,500,000,000","9,000",773,"4,000,000,000",1.1,12%,"1,000,000","300,000,000",High,Good,Public,Kenya,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Telecommunications,7,Public,"5,000,000,000","13,000",748,"25,000,000,000",0.9,18%,"800,000","500,000,000",High,Good,Public,Nigeria,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,E-commerce,7,Private,"700,000,000","9,000",783,"1,200,000,000",1.2,10%,"200,000","500,000,000",Medium,Good,Public,Kenya,Moderate,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Adequate,Yes
Sasol Ltd,Manufacturing,23,Public,"10,000,000,000","147,000",791,"9,000,000,000",0.5,18%,"200,000","500,000,000",High,Good,Public,Nigeria,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,E-commerce,7,Public,"100,000,000","19,000",674,"25,000,000,000",0.4,16%,"1,000,000","500,000,000",Medium,Average,Public,Nigeria,Strict,"60,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Jumia,Retail,7,Public,"2,500,000,000","15,000",800,"15,000,000,000",0.4,18%,"800,000","300,000,000",High,Excellent,Public,Kenya,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,41,Limited,"2,500,000,000","13,000",710,"35,000,000,000",0.6,20%,"1,200,000","250,000,000",High,Good,Public,South Africa,Moderate,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"10,000,000,000",500,600,"20,000,000,000",0.5,10%,"50,000","500,000,000",Medium,Average,Private,Nigeria,Strict,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Naspers,Banking,52,Public,"20,000,000,000","15,000",800,"15,000,000,000",0.7,15%,"200,000","300,000,000",High,Good,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Media,25,Limited,"700,000,000","19,000",679,"40,000,000,000",0.4,16%,"1,500,000","500,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Manufacturing,65,Public,"10,000,000,000","30,000",689,"9,000,000,000",0.4,20%,"800,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Financial Technology,7,Limited,"100,000,000",500,743,"150,000,000",1.2,10%,"500,000","300,000,000",Medium,Average,Private,Nigeria,Moderate,"7,000,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Advanced,No
MTN Group,Manufacturing,7,Public,"5,000,000,000","29,000",753,"15,000,000,000",0.6,16%,"1,500,000","250,000,000",High,Excellent,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Chemicals,29,Public,"12,000,000,000","9,000",683,"25,000,000,000",0.9,15%,"1,500,000","500,000,000",Medium,Good,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,43,Public,"2,500,000,000","9,000",708,"4,000,000,000",1.1,18%,"500,000","300,000,000",High,Good,Public,Kenya,Moderate,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Manufacturing,56,Public,"20,000,000,000","30,000",678,"35,000,000,000",0.4,8%,"800,000","200,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Chemicals,27,Public,"2,500,000,000","19,000",772,"25,000,000,000",0.9,16%,"1,000,000","500,000,000",High,Good,Public,Nigeria,Strict,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Financial Technology,7,Private,"10,000,000,000","147,000",743,"150,000,000",0.5,18%,"100,000","30,000,000",Medium,Good,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,Yes
Shoprite Holdings Ltd,Manufacturing,62,Public,"700,000,000","13,000",696,"40,000,000,000",0.4,15%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,57,Public,"25,000,000,000","13,000",800,"9,000,000,000",0.4,18%,"1,500,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,7,Private,"1,200,000,000",500,600,"150,000,000",1.2,10%,"500,000","1,000,000,000",Medium,Average,Private,Nigeria,Moderate,"60,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,No
Vodacom Group,Telecommunications,61,Public,"2,500,000,000","9,000",787,"4,000,000,000",0.5,18%,"500,000","300,000,000",High,Good,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Manufacturing,105,Public,"25,000,000,000","29,000",761,"15,000,000,000",0.4,18%,"1,500,000","500,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Chemicals,52,Private,"25,000,000,000","30,000",800,"2,500,000,000",0.4,10%,"1,000,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Retail,39,Public,"10,000,000,000","15,000",800,"40,000,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Chemicals,42,Public,"10,000,000,000","147,000",732,"25,000,000,000",0.4,18%,"500,000","500,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Retail,105,Public,"2,500,000,000","13,000",797,"40,000,000,000",0.5,8%,"1,200,000","300,000,000",High,Good,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Chemicals,7,Corporation,"12,000,000,000","15,000",746,"15,000,000,000",0.9,16%,"1,200,000","500,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,29,Public,"20,000,000,000","147,000",678,"40,000,000,000",0.9,18%,"1,200,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Financial Technology,7,Public,"100,000,000","19,000",701,"150,000,000",0.5,16%,"50,000","500,000,000",High,Good,Private,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Financial Technology,7,Public,"100,000,000","9,000",736,"40,000,000,000",1.2,10%,"100,000","30,000,000",Medium,Average,Private,Kenya,Moderate,"30,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,No
Vodacom Group,Manufacturing,105,Public,"5,000,000,000","13,000",688,"40,000,000,000",0.4,15%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Media,53,Public,"2,500,000,000","15,000",686,"20,000,000,000",0.6,8%,"1,200,000","250,000,000",High,Good,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Flutterwave,Telecommunications,7,Private,"100,000,000",500,720,"150,000,000",1.2,18%,"50,000","30,000,000",Medium,Good,Public,Kenya,Moderate,"500,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Adequate,No
Zenith Bank,Manufacturing,10,Public,"12,000,000,000",500,785,"4,000,000,000",1.1,18%,"800,000","1,000,000,000",High,Good,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Financial Technology,34,Public,"1,200,000,000","147,000",769,"150,000,000",0.4,18%,"1,500,000","300,000,000",High,Good,Public,Kenya,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,12,Public,"100,000,000","9,000",749,"4,000,000,000",1.1,18%,"500,000","300,000,000",High,Good,Public,Kenya,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Retail,76,Public,"10,000,000,000","147,000",731,"40,000,000,000",0.6,20%,"1,000,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,605,"150,000,000",0.4,10%,"50,000","300,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,Manufacturing,105,Public,"10,000,000,000","30,000",721,"15,000,000,000",0.4,18%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Manufacturing,35,Public,"25,000,000,000",500,689,"20,000,000,000",0.5,10%,"1,000,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"7,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,45,Limited,"100,000,000","15,000",734,"4,000,000,000",0.9,18%,"800,000","300,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Vodacom Group,Manufacturing,28,Public,"2,500,000,000","30,000",694,"15,000,000,000",0.4,20%,"200,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,54,Corporation,"10,000,000,000","9,000",800,"2,500,000,000",0.8,12%,"1,000,000","300,000,000",Medium,Good,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Manufacturing,105,Public,"10,000,000,000","29,000",790,"35,000,000,000",0.6,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,640,"150,000,000",0.9,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Safaricom,Manufacturing,7,Limited,"10,000,000,000","15,000",600,"2,500,000,000",0.4,10%,"500,000","500,000,000",Medium,Average,Private,Nigeria,Strict,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Naspers,Media,54,Public,"10,000,000,000","30,000",800,"40,000,000,000",0.7,15%,"1,000,000","1,000,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,7,Public,"20,000,000,000","147,000",703,"150,000,000",1.1,18%,"500,000","200,000,000",High,Good,Public,Nigeria,Strict,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"12,000,000,000","15,000",600,"150,000,000",0.5,18%,"500,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Dangote Group,Manufacturing,36,Public,"25,000,000,000","30,000",727,"9,000,000,000",0.4,16%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Financial Technology,53,Public,"1,200,000,000","30,000",668,"25,000,000,000",0.4,8%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Media,51,Public,"10,000,000,000","19,000",800,"40,000,000,000",0.6,15%,"500,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Chemicals,7,Public,"12,000,000,000","15,000",731,"15,000,000,000",0.6,20%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",1.2,10%,"50,000","300,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Jumia,Telecommunications,48,Public,"12,000,000,000","15,000",738,"4,000,000,000",1.1,18%,"1,200,000","300,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Manufacturing,58,Public,"5,000,000,000","15,000",716,"20,000,000,000",0.4,10%,"1,000,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Chemicals,105,Public,"10,000,000,000","30,000",722,"25,000,000,000",0.4,15%,"200,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Telecommunications,7,Public,"2,500,000,000","147,000",737,"9,000,000,000",0.7,10%,"50,000","1,000,000,000",Medium,Good,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.9,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Vodacom Group,Telecommunications,63,Corporation,"2,500,000,000","9,000",765,"35,000,000,000",0.9,12%,"1,200,000","500,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Chemicals,7,Public,"25,000,000,000","9,000",711,"35,000,000,000",0.4,10%,"200,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.8,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,No
Sasol Ltd,Telecommunications,32,Public,"10,000,000,000","29,000",692,"40,000,000,000",0.4,18%,"1,500,000","250,000,000",High,Good,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Media,105,Public,"10,000,000,000","30,000",721,"40,000,000,000",0.4,15%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,7,Limited,"2,500,000,000","9,000",764,"150,000,000",0.4,18%,"50,000","30,000,000",High,Average,Private,Kenya,Strict,"7,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,No
Naspers,Manufacturing,25,Public,"5,000,000,000","30,000",706,"9,000,000,000",0.4,18%,"1,000,000","500,000,000",High,Good,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Telecommunications,54,Public,"10,000,000,000","15,000",718,"2,500,000,000",0.7,10%,"1,500,000","500,000,000",High,Good,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,43,Public,"10,000,000,000","13,000",732,"2,500,000,000",0.6,20%,"1,000,000","300,000,000",High,Excellent,Public,Nigeria,Strict,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.5,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Adequate,No
Zenith Bank,Manufacturing,105,Public,"10,000,000,000","29,000",725,"2,500,000,000",0.4,15%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Media,105,Public,"20,000,000,000","29,000",692,"40,000,000,000",0.4,8%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,63,Public,"1,200,000,000","9,000",682,"15,000,000,000",1,8%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Moderate,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Chemicals,60,Public,"25,000,000,000","9,000",667,"40,000,000,000",0.6,18%,"200,000","500,000,000",High,Excellent,Public,Nigeria,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,44,Public,"2,500,000,000","9,000",700,"4,000,000,000",1.1,18%,"500,000","300,000,000",High,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Manufacturing,105,Corporation,"10,000,000,000","29,000",701,"20,000,000,000",0.4,20%,"1,500,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Retail,7,Private,"20,000,000,000","15,000",611,"1,200,000,000",0.6,10%,"1,200,000","30,000,000",High,Good,Private,Nigeria,Strict,"500,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,No
Shoprite Holdings Ltd,E-commerce,105,Private,"700,000,000","9,000",690,"1,200,000,000",0.7,15%,"200,000","100,000,000",High,Good,Public,Nigeria,Strict,"1,800,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
Naspers,Manufacturing,105,Public,"10,000,000,000","13,000",698,"15,000,000,000",0.4,10%,"100,000","500,000,000",High,Average,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Manufacturing,7,Public,"20,000,000,000","13,000",734,"15,000,000,000",0.7,10%,"1,200,000","300,000,000",High,Good,Public,Nigeria,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Media,7,Limited,"10,000,000,000","9,000",752,"20,000,000,000",0.8,15%,"800,000","500,000,000",High,Good,Public,South Africa,Moderate,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Shoprite Holdings Ltd,Telecommunications,65,Public,"2,500,000,000","29,000",678,"4,000,000,000",0.5,18%,"1,000,000","300,000,000",High,Good,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
